Name,Price
Ap-ple Mac-Book Air M-1 Chip – 8GB RAM – 256GB SSD - 13.3″ Liquid Retina Display – Backlit Keyboard - FaceTime HD Camera - Touch ID - Space Gray,"Rs. 110,000"
"Lenovo V15 celeron 4GB RAM 256GB SSD,15.6 inch HD Display","Rs. 33,998"
"Dell Latitude 5300 Business Laptop, 13.3"" FHD(1920x1080), Intel Core i5-8365U 1.6GHz up to 4.1GHz, 8GB DDR4 RAM, 256GB SSD, Backlit Keyboard","Rs. 34,999"
Lenovo IdeaPad Slim 3 Intel Core i5 13th Gen 13420H – 16GB DDR5 RAM – 512GB NVMe SSD – Intel Integrated Graphics – 15.6″ FHD Display – Arctic Grey,"Rs. 77,999"
Lenovo LOQ 15 AMD Ryzen 5 7235HS RTX 3050 6GB – 12GB DDR5 RAM – 512GB NVMe SSD – 15.6″ FHD 144Hz Display – Windows 11,"Rs. 105,999"
"Dell Latitude E5470 I5-6th Gen | 8 GB RAM | 256 GB SSD | 14"" Screen","Rs. 35,999"
"Dell Latitude E5400 I5-8th Gen | 8 GB RAM | 256 GB SSD | 14"" Screen","Rs. 45,499"
Dell Vostro 3520 I3-12th gen 8GB RAM/512GB SSD/15.6 Display,"Rs. 51,347"
Acer Aspire 5 15 (14th Generation Intel® Core™ 5 processor 120U Processor | 8GB RAM | 512GB SSD | 15.6-inch FHD (1920 x 1080) IPS Display | Intel UHD Graphics | 2 Year Warranty),"Rs. 82,997"
"Dell Vostro 3520 i3 12th Gen | 16GB RAM | 512GB SSD | 15.6"" 120Hz FHD Display Laptop","Rs. 54,999"
"Acer Nitro V 15 i7 13th Gen 13620H | 16GB DDR5 | 512GB SSD | RTX 4050 6GB | 15.6"" FHD 144Hz","Rs. 139,999"
"Lenovo Ideapad 1 15lGL7 11thGen Intel Celeron N4020 8GB DDR4 RAM 256GB SSD 15.6""' HD Display","Rs. 38,497"
Acer Aspire 5 i5 13th Gen 8GB RAM 512GB ssd 15.6 FHD Backlit Laptop,"Rs. 77,990"
"Lenovo V15 celeron Laptop 4GB,256GB SSD,15.6 inch Display","Rs. 33,997"
HP 14 | Intel Core i3 13th Gen 1315U | 8GB RAM | 512GB SSD | Intel UHD Graphics | 14″ FHD Display,"Rs. 56,999"
HP Victus 15 AMD Ryzen 5 7535HS AMD RADEON RX 6550M 4GB Graphics – 16GB DDR5 RAM – 512GB NVMe SSD – 15.6″ FHD 144Hz Display – Windows 11 Home – Backlit Keyboard – Black,"Rs. 99,999"
Asus E410M-EK Celeron N401214WS 4GB AM/64GB+256GB SSD/14FHD,"Rs. 33,998"
"Acer Nitro V i5 13th Gen 13420H | 16GB DDR5 | 512GB SSD | RTX 4050 6GB | 15.6"" FHD 144Hz | Win 11","Rs. 116,999"
Dell Latitude E5300 i5-8th Gen 8GB 256 SSD 13.3″ Ultrabook,"Rs. 34,499"
"Lenovo V15 celeron Laptop 4GB,256GB SSD,15.6 inch Display","Rs. 33,999"
"Acer Predator Helios 300 / i7 11th Gen / RTX 3060 / 16GB RAM / 1TB SSD /15.6"" QHD 165Hz Display","Rs. 149,490"
Dell XPS 9315 CoreTM i5-1230U,"Rs. 124,999"
"Asus 2023 Zenbook 14 Um3402Ya - 7Th, Ryzen 5 7530, 8Gb Ram, 512Gb Nvme Ssd, 14"" 2K Display , Backlit Keyboard, Magic Numpad, Fingerprint, Genuine Win 11, 2 Years, Jade Black - Nagmani International","Rs. 118,900"
"HP Envy x360 14 i7 13th Gen \ 16GB RAM \ 1TB SSD \ 14"" FHD 360 Touch Screen Display","Rs. 155,000"
"Lenovo V15 Intel Celeron N4020 15.6"" FHD (1080p)(39.62 cm) HD Thin and Light Laptop (4GB RAM/1 TB HDD )","Rs. 33,999"
Dell Latitude E7490 Laptop I7-8th Gen 256 GB SSD 8 GB RAM Ultrabook,"Rs. 55,000"
Lenovo IdeaPad Slim 3 (12th Generation Intel Core i5 12450H Processor | 16GB RAM | 512GB SSD | 14.1-inch FHD (1920 x 1080) Display | Intel UHD Graphics | 1 Year Warranty),"Rs. 68,000"
"Lenovo IdeaPad Slim 3i 2023 15 i3 13Th Gen / 8GB RAM / 256GB / 15.6"" FHD display","Rs. 51,996"
"Asus ZenBook 14 Q407IQ Laptop / Ryzen 5 4500U / MX350 / 8GB RAM / 256GB SSD / 14"" FHD display","Rs. 85,000"
Dell Latitude 5480 Intel Core I5 6th Gen 2.4 GHz Processor 8 GB RAM 256 GB SSD 14 Inch Touch Screen,"Rs. 35,999"
Dell 5470 | Celeron | Intel UHD | 8GB RAM | 256GB SSD | 14″HD,"Rs. 35,999"
Lenovo Ideapad 1 | Celeron N4020 | 8GB RAM | 256GB SSD | 14″,"Rs. 38,999"
"Dell G5 15 5511 / i5-11400H / 8GB / 256 SSD / NVIDIA RTX 3050-4GB GDDR6 / 15.6"" FHD","Rs. 143,900"
"Dell Latitude E5300 2 in 1 360 Fold I5-8th Gen | 8 GB RAM | 256 GB SSD | 13.3"" Screen","Rs. 54,999"
Acer Aspire lite i3-12th Gen 8GB RAM-512GB SS-15.6FHD,"Rs. 54,897"
"Acer Swift 3 Laptop /Ryzen 7 5700U/8GB/512 GB/14"" FHD/Backlit Keyboard/Win 10","Rs. 105,000"
Lenovo Ideapad 1 | Celeron N4020 | 8GB RAM | 256GB SSD | 14″,"Rs. 38,998"
"Refub* DELL LATITUDE 5480 Intel Windows 10 Pro (Core i5 6th GEN/ 8GB RAM/ 256GB SSD/ WEBCAM/ 14 ""/ WIN-10 PR0)","Rs. 22,999"
"Dell Vostro 3520 i3 12th Gen 8GB 512ssd 15.6"" FHD 120Hz Screen","Rs. 51,299"
HP VICTUS 15 / Intel core i5-13420H Processor / 15.6″ (1920×1080) FHD IPS Display / 16GB RAM / 512 GB SSD / NVIDIA® RTX 3050(6GB Dedicated Graphics) 144Hz Refresh Rate,"Rs. 118,998"
Dell Vostro 3510 i5-1135G7 11th Gen 8GB RAM 256 GB SSD Intel UHD Graphic 15.’’6 FHD,"Rs. 69,998"
"Acer Swift Go 14 Ryzen 5 - 7530U / 16 GB DDR4 RAM/ 512 GB SSD/14"" FHD IPS/AMD Radeon GFX/ Backlit Keyboard/ Win 11","Rs. 89,990"
"Dell Inspiron 15 3515 / AMD Ryzen 3 3250U / 4GB / 1TB HDD / Radeon Graphics / 15.6"" FHD","Rs. 63,900"
HP ProBook 440 G10 I5-13th Gen/8GB RAM/512GB SSD/14 HD Display,"Rs. 96,899"
"HP Pavilion X360 14"" Core i5 1035G1 8GB RAM 256GB SSD Convertible Laptop","Rs. 99,999"
Dell Vostro i5-11th Gen 8/512,"Rs. 79,999"
"Great Asia TK-E140: High-Performance Windows Laptop | 14"" HD Display | Intel N3350 CPU | 6GB RAM , 128GB SSD","Rs. 35,000"
"Dell Latitude 5300 2 in 1 Laptop, 13.3-inch FHD (1920 x 1080) Touchscreen, Intel Core 8th Gen i5-8365U, 8GB RAM, 256GB SSD, Windows 10 (Renewed)","Rs. 39,999"
"Laptop Dell Latitude 5300 , 13.3"" Intel Core i5-8365U 1.6GHz up to 4.1GHz, 8GB DDR4 RAM, 256GB SSD, Backlit Keyboard","Rs. 34,999"
TK-E142 | 8GB RAM | 256GB ROM | Intel N4020 | Windows 11 | 14.0-inch Display | Long-lasting Battery | Smooth Multitasking | Seamless Connectivity | Ideal for Work & Entertainment,"Rs. 40,000"
Dell Vostro 3520 i5 12th Generation 8Gb Ram 512Gb SSD,"Rs. 66,500"
