Bowler,Runs,OverDetail
Mohammed Shami,"(4 runs, 0 wkt)","0,0,0,0,0,4"
Hardik Pandya,"(2 runs, 0 wkt)","1w,0,0,0,0,1,0"
Mohammed Shami,"(4 runs, 0 wkt)","0,1,2,0,1,0"
Hardik Pandya,"(16 runs, 0 wkt)","0,0,1,6,4,1w,4"
Mohammed Shami,"(11 runs, 0 wkt)","1,4,4,1,0,1"
Varun Chakravarthy,"(9 runs, 0 wkt)","5w,1,0,2,0,1,0"
Mohammed Shami,"(5 runs, 0 wkt)","0,0,1,0,0,4"
Varun Chakravarthy,"(7 runs, 1 wkt)","1w,2,2,1,0,W,1"
Mohammed Shami,"(6 runs, 0 wkt)","1,1,4,0,0,0"
Varun Chakravarthy,"(5 runs, 0 wkt)","0,1,1,1,0,2"
Kuldeep Yadav,"(4 runs, 1 wkt)","W,1w,0,1,1,0,1"
Axar Patel,"(2 runs, 0 wkt)","0,0,0,1,0,1"
Kuldeep Yadav,"(2 runs, 1 wkt)","0,W,1,0,0,1"
Axar Patel,"(4 runs, 0 wkt)","0,4,0,0,0,0"
Kuldeep Yadav,"(2 runs, 0 wkt)","1,0,0,0,0,1"
Axar Patel,"(2 runs, 0 wkt)","0,0,1,0,0,1"
Kuldeep Yadav,"(5 runs, 0 wkt)","1,0,0,1,1,2"
Axar Patel,"(5 runs, 0 wkt)","1,1,1,1,0,1"
Varun Chakravarthy,"(4 runs, 0 wkt)","0,2,0,0,1,1"
Ravindra Jadeja,"(2 runs, 0 wkt)","0,1,0,0,0,1"
Varun Chakravarthy,"(1 run, 0 wkt)","0,0,1,0,0,0"
Ravindra Jadeja,"(2 runs, 0 wkt)","0,1,1,0,0,0"
Varun Chakravarthy,"(3 runs, 0 wkt)","0,2,0,0,1,0"
Ravindra Jadeja,"(3 runs, 1 wkt)","1,W,0,1,1,0"
Varun Chakravarthy,"(4 runs, 0 wkt)","0,1,1,1,1,0"
Ravindra Jadeja,"(2 runs, 0 wkt)","0,0,0,0,1,1"
Kuldeep Yadav,"(7 runs, 0 wkt)","1,0,0,0,0,6"
Ravindra Jadeja,"(3 runs, 0 wkt)","0,1,0,2,0,0"
Kuldeep Yadav,"(5 runs, 0 wkt)","1,0,0,4,0,0"
Ravindra Jadeja,"(4 runs, 0 wkt)","0,1,1,0,2,0"
Axar Patel,"(3 runs, 0 wkt)","0,1w,0,0,1,0,1"
Ravindra Jadeja,"(5 runs, 0 wkt)","0,0,1,4,0,0"
Axar Patel,"(4 runs, 0 wkt)","0,1,1,1,0,1"
Ravindra Jadeja,"(2 runs, 0 wkt)","0,0,0,1,1,0"
Axar Patel,"(4 runs, 0 wkt)","0,0,1,1,2,0"
Ravindra Jadeja,"(3 runs, 0 wkt)","0,1,0,0,1,1"
Axar Patel,"(5 runs, 0 wkt)","1,0,2,1,0,1"
Varun Chakravarthy,"(4 runs, 1 wkt)","2,0,2,0,W,0"
Kuldeep Yadav,"(3 runs, 0 wkt)","1,0,0,0,1,1"
Ravindra Jadeja,"(4 runs, 0 wkt)","1,1,0,1,1,0"
Kuldeep Yadav,"(3 runs, 0 wkt)","0,1,0,1,0,1"
Varun Chakravarthy,"(3 runs, 0 wkt)","1,0,0,1w,0,1,0"
Kuldeep Yadav,"(6 runs, 0 wkt)","0,1lb,0,4,0,1"
Mohammed Shami,"(12 runs, 0 wkt)","0,1lb,1,2,6,2"
Varun Chakravarthy,"(5 runs, 0 wkt)","1,0,2,1,0,1"
Mohammed Shami,"(11 runs, 1 wkt)","4,2,4,W,0,1"
Kuldeep Yadav,"(4 runs, 0 wkt)","0,1,0,0,2,1"
Mohammed Shami,"(11 runs, 0 wkt)","1w,1,1,1,1,4,2"
Hardik Pandya,"(12 runs, 1 wkt)","1w,1,6,1,2,0,1W"
Mohammed Shami,"(12 runs, 0 wkt)","4,2,1,1lb,2,2"
