Bowler,Runs,OverDetail
Jacob Duffy,"(2 runs, 1 wkt)","1,0,0,W,1,0"
Zakary Foulkes,"(10 runs, 0 wkt)","0,1,4,4,0,1"
Jacob Duffy,"(7 runs, 0 wkt)","0,1,4,0,1,1lb"
Ben Sears,"(6 runs, 1 wkt)","W,0,0,0,0,6"
Zakary Foulkes,"(11 runs, 0 wkt)","4,2,0,1,0,4"
James Neesham,"(12 runs, 0 wkt)","0,0,6,4,2,0"
Ish Sodhi,"(4 runs, 2 wkts)","1,0,1lb,W,2,W"
Ben Sears,"(10 runs, 0 wkt)","1,2,1,6,0,0"
Ish Sodhi,"(14 runs, 0 wkt)","0,1,6,4,2,1"
Ben Sears,"(7 runs, 1 wkt)","0,W,1,0,6,0"
Michael Bracewell,"(14 runs, 0 wkt)","1,4,0,1,6,2"
Jacob Duffy,"(13 runs, 1 wkt)","6,1w,4,1,1lb,W,0"
James Neesham,"(4 runs, 2 wkts)","1,W,2,0,1,W"
Zakary Foulkes,"(11 runs, 0 wkt)","1,1,0,4,4,1"
James Neesham,"(10 runs, 1 wkt)","0,1w,0,6,0,2,1W"
